bird_id,bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image,bird_tail_type,bird_crest_type,bird_bill_type,bird_leg_type,bird_state
,,Great Crested Grebe,,,,,,,,,
,Tachybaptus ruficollis,Little Grebe,Brown/Black/White,M/F,Myna+,images/bird_images/Little_Grebe.jpg,NULL,NULL,NULL,NULL,Maharashtra
,,Spot-billed Pelican,,,,,,,,,
,,Indian Shag,,,,,,,,,
,,Great Cormorant,,,,,,,,,
,Phalacrocorax niger,Little Cormorant,Black/Grey/White/Brown,M/F,Pigeon+,images/bird_images/Little_Cormorant.jpg,NULL,NULL,NULL,NULL,Maharashtra
,,Western-reef Heron,,,,,,,,,
,,Little Egret,,,,,,,,,
,,Great Egret,,,,,,,,,
,Mesophoyx intermedia ,Intermediate Egret ,White,M,Kite+,images/bird_images/Intermediate_Egret.jpg,NULL,NULL,NULL,NULL,Maharashtra
,,Eastern Cattle Egret,,,,,,,,,
,,Grey Heron,,,,,,,,,
,,Purple Heron,,,,,,,,,
,Ardeola grayii ,Indian Pond-heron ,White/Brown/Red,M/F,Hen,images/bird_images/Indian_Pond_Heron.jpg,NULL,NULL,NULL,NULL,Maharashtra
,,Black-crowned Night Heron,,,,,,,,,
,,Straiated Heron,,,,,,,,,
,,Chestnut Bittern,,,,,,,,,
,,Yellow Bittern,,,,,,,,,
,,Little Bittern,,,,,,,,,
,,Eurasian Bittern,,,,,,,,,
,,Asian Openbill,,,,,,,,,
,,White Stork,,,,,,,,,
,,Woolly-necked Stork,,,,,,,,,
,,Painted Stork,,,,,,,,,
,,Black Stork,,,,,,,,,
,,Black-necked Stork,,,,,,,,,
,,Glossy Ibis,,,,,,,,,
,,Black-headed Ibis,,,,,,,,,
,,Eurasian Openbill,,,,,,,,,
,,Indian Black Ibis,,,,,,,,,
,,Lesser Flamingo,,,,,,,,,
,,Greater Flamingo,,,,,,,,,
,,Bar-headed Geese,,,,,,,,,
,,Fulvous Whistling-duck,,,,,,,,,
,,Lesser Whistling-duck,,,,,,,,,
,,Common Shelduck,,,,,,,,,
,,Knob-billed Duck,,,,,,,,,
,,Common Teal,,,,,,,,,
,,Garganey,,,,,,,,,
,,Gadwall,,,,,,,,,
,,Eurasian Wigeon,,,,,,,,,
,,Northern Shoveller,,,,,,,,,
,,Northern Pintail,,,,,,,,,
,,Indian Spot-billed Duck,,,,,,,,,
,,Mallard,,,,,,,,,
,,Greater Scaup,,,,,,,,,
,,Ferruginous Duck,,,,,,,,,
,,Common Pochard,,,,,,,,,
,,Red-crested Pochard,,,,,,,,,
,,Cotton Teal,,,,,,,,,
,,Marbled Duck,,,,,,,,,
,,Common Merganser,,,,,,,,,
,,Black-winged Kite,,,,,,,,,
,,Black Baza,,,,,,,,,
,,Brahminy Kite,,,,,,,,,
,,Black Kite,,,,,,,,,
,,Black-eared Kite,,,,,,,,,
,,Besra Sparrowhawk,,,,,,,,,
,,Shikra,,,,,,,,,
,,Accipter nisus cenchroides,,,,,,,,,
,,Accipter nisus nisosimilis,,,,,,,,,
,,Oriental Honey-Buzzard,,,,,,,,,
,,White-eyed Buzzard,,,,,,,,,
,,Crested Serpent-eagle,,,,,,,,,
,,Short-toed Eagle,,,,,,,,,
,,Booted Eagle,,,,,,,,,
,,Bonelli's Eagle,,,,,,,,,
,,Mountain Hawk-eagle,,,,,,,,,
,,Crested Hawk-eagle,,,,,,,,,
,,Black Eagle,,,,,,,,,
,,Indian Spotted Eagle,,,,,,,,,
,,Tawney Eagle,,,,,,,,,
