bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image,bird_tail_type,bird_crest_type,bird_bill_type,bird_leg_type
Phalacrocorax niger,Little Cormorant,Black/Grey/White/Brown,M/F,Pigeon +,images/bird_images/Little_Cormorant.jpg,,,,
Tachybaptus ruficollis,Little Grebe,Brown/Black/White,M/F,Myna +,images/bird_images/Little_Grebe.jpg,,,,
Mesophoyx intermedia ,Intermediate Egret ,White,M,Kite +,images/bird_images/Intermediate_Egret.jpg,,,,
Bubulcus ibis,Cattle Egret,White/Yellow/Orange,M/F,Hen +,images/bird_images/Cattle_Egret.jpg,,,,
Ardeola grayii ,Indian Pond-heron ,White/Brown/Red,M/F,Hen,images/bird_images/Indian_Pond_Heron.jpg,,,,
Dendrocygna javanica,Lesser Whistling-duck,Brown/White,M/F,Hen +,images/bird_images/Lesser_Whistling_Duck.jpg,,,,
Anas poecilorhyncha,Indian Spot-billed Duck (Spot-billed Duck),Brown/Blue/Green/White,M,Hen +,images/bird_images/Spot_Billed_Duck_M.jpg,,,,
Anas poecilorhyncha,Indian Spot-billed Duck (Spot-billed Duck),Brown/Blue/White,F,Hen +,images/bird_images/Spot_Billed_Duck_F.jpg,,,,
Anas acuta,Northern Pintail,Brown/Grey/White/Black/Yellow/Orange,M,Hen +,images/bird_images/Northern_Pintail_M.jpg,,,,
Anas acuta,Northern Pintail,Brown,F,Hen +,images/bird_images/Northern_Pintail_F.jpg,,,,
Anas clypeata,Northern Shoveller,Green/Brown/White/Black,M,Hen +,images/bird_images/Northern_Shoveller_M.jpg,,,,
Anas clypeata,Northern Shoveller,Brown/White,F,Hen +,images/bird_images/Northern_Shoveller_F.jpg,,,,
Anas penelope,Eurasian Wigeon,Grey/Brown/Black/White/Green,M,Hen +,images/bird_images/Eurasian_Wigeon_M.jpg,,,,
Anas penelope,Eurasian Wigeon,Grey/Brown/Black/White,F,Hen +,images/bird_images/Eurasian_Wigeon_F.jpg,,,,
Nettapus coromanelianus,Cotton Teal (Cotton Pygmy-goose),Black/White/Green/Grey,M,Hen -,images/bird_images/Cotton_Teal_M.jpg,,,,
Nettapus coromanelianus,Cotton Teal (Cotton Pygmy-goose),Brown/White/Green/Grey,F,Hen -,images/bird_images/Cotton_Teal_F.jpg,,,,
Pernis ptilorhyncus,Oriental Honey-buzzard,Brown/Grey,M/F,Kite +,images/bird_images/Oriental_Honey_Buzzard.jpg,,,,
